beer_name,brewery_name,beer_style,review_taste,beer_abv
! (Old Ale),Närke Kulturbryggeri AB,Old Ale,4.5,8.2
"""100""",The Covey Restaurant & Brewery,Belgian Dark Ale,4.4,10
"""100"" Pale Ale",Aviator Brewing Company,American IPA,4,6.6
"""12""  Belgian Golden Strong Ale",Flossmoor Station Restaurant & Brewery,Belgian Strong Pale Ale,4.5,9
"""33"" Export",Baltika-Baku,Dortmunder / Export Lager,3,4.8
"""50"" Golden Anniversary Lager",Mia & Pia's Pizzeria And Brewhouse,American Pale Lager,3.5,4
"""76"" Anniversary Ale",Bootlegger's Brewery,Old Ale,4.166666667,7.6
"""76"" Anniversary Ale With English Hops",Bootlegger's Brewery,Old Ale,4.5,7.6
"""Alt""ered State",General Lafayette Inn & Brewery,Altbier,4,6.8
"""Cellar Reserve"" Triple Gold",Beer Works,Tripel,4.5,9
"""Certifiably"" Blonde Ale",Silverado Brewing Company,American Blonde Ale,2.5,4.98
"""Check-Mate"" Cask Pilsner","Loddon Brewery, The",Czech Pilsener,3.5,4.8
"""Fade To Black"" Porter",John Harvard's Brewery & Ale House,English Porter,4,5.6
"""Great Satchmo"" Stout",CB's Brewing Company,American Stout,4,4.5
"""Hop Obama"" Ale",Sixpoint Brewery,American Amber / Red Ale,4.160714286,5.2
"""Jessica & Brendan's"" Bridal Ale",Moylan's Brewery,American Amber / Red Ale,2.333333333,5
"""Just One More"" Scotch Ale",Port Brewing Company / Pizza Port,Scotch Ale / Wee Heavy,3.625,10.5
"""Little John's Myth"" Robust Porter",Alcazar Brewing Co.,English Porter,4.25,6
"""M""-perial Stout","Mash House Restaurant & Brewery, The",Russian Imperial Stout,4,7.5
"""Naughty Scot"" Scotch Ale",Rock Bottom Restaurant & Brewery,Scotch Ale / Wee Heavy,3.875,7.3
"""Nein Toll Bier"" German Alt",John Harvard's Brewery & Ale House,Altbier,3,5.4
"""Not Guilty"" 1924 Deer Brand",August Schell Brewing Company,American Adjunct Lager,4.071428571,5.91
"""Not Your Bock"" Maibock",Tustin Brewing Company,Maibock / Helles Bock,4.5,6.8
"""O Smokey Night""",Ladyface Ale Companie,Smoked Beer,4,7.2
"""O!"" Gold",Upstream Brewing Company - Old Market,Light Lager,2.833333333,3.8
"""Old Yeltsin"" Imperial Stout",Hoptown Brewing Company,Russian Imperial Stout,4.109090909,9
"""Requisite"" Imperialistic Stout",Stillwater Artisanal Ales,American Double / Imperial Stout,3.857142857,9
"""Shabadoo"" Black & Tan Ale",Berkshire Brewing Company Inc.,Black & Tan,3.901709402,6.3
"""Six"" Belgian Style Table Beer",Goose Island Beer Co.,Belgian Pale Ale,3,2.5
"""Stout Stoat"" Stout",Salamander Brewing Company,English Stout,4.5,4.5
"""The Buk"" Pale Ale",Wormtown Brewing Co.,American Pale Ale (APA),4.071428571,5.5
"""The Camp"" Barleywine",Squam Brewing,American Barleywine,4.25,10
"""The Wind Cried Mari..."" Scottish Heather Ale",Cambridge Brewing Company,Scottish Gruit / Ancient Herbed Ale,4,4.4
"""They Made Me Do It"" Blueberry Ale",Red Brick Station,Fruit / Vegetable Beer,4,4.1
"""Trouble""",Rock Bottom Restaurant & Brewery,Belgian Dark Ale,4,6.2
"""Woosta"" Weizenbock",Wormtown Brewing Co.,Weizenbock,4.166666667,8.2
# 100,Nøgne Ø - Det Kompromissløse Bryggeri A/S,American Barleywine,4.094470046,10
#1 Abbey Ale,Fat Heads Brewery & Saloon,Belgian Strong Pale Ale,4,7.4
#1 Saison,Fat Heads Brewery & Saloon,Saison / Farmhouse Ale,4,6.8
#10,Dillon Dam Brewery,Russian Imperial Stout,3,9
#100,Iron Hill Brewery & Restaurant,American IPA,4,6.5
#13,Carolina Brewing Company,Weizenbock,3.833333333,6.2
#14,Carolina Brewing Company,Tripel,3.785714286,8
#20 Jubilee (Yubilejnoe),Baltika Breweries,Euro Pale Lager,3.5,4.6
#29 Spawn Of Adam Bier,Hair of the Dog Brewing Company / Brewery and Tasting Room,Old Ale,4.5,10
#9,Magic Hat Brewing Company,Fruit / Vegetable Beer,3.391977481,5.1
$5 Shake,Ithaca Beer Company,American Double / Imperial Stout,2.75,8.5
$ellout $tout,Half Pints Brewing Company,American Double / Imperial Stout,4.19047619,8.2
&#268;ernovar &#268;erné,M&#283;stský Pivovar Platan S.r.o.,Munich Dunkel Lager,4,4.6
&#268;ernovar Sv&#283;tlé,M&#283;stský Pivovar Platan S.r.o.,Czech Pilsener,4,4.9
&#268;erná Hora Granat,Pivovar &#268;erná Hora,Schwarzbier,3,4.5
