,size_l,og,fg,abv,ibu,color,boilsize,boiltime,boilgravity,efficiency,mashthickness,pitchrate,primarytemp,review_taste,beer_abv,sugarscale_Plato,sugarscale_Specific Gravity,brewmethod_All Grain,brewmethod_BIAB,brewmethod_Partial Mash,brewmethod_extract
0,18.93,1.082,1.013,9.1,0.0,4.1,21.58,60.0,0.0,72.0,0.0,0.0,0.0,4.103825136612022,7.6,0.0,1.0,1.0,0.0,0.0,0.0
1,7.57,1.076,1.014,8.1,33.51,3.68,8.71,60.0,1.066,75.0,0.0,0.0,0.0,4.103825136612022,7.6,0.0,1.0,1.0,0.0,0.0,0.0
2,20.82,1.043,1.011,4.14,13.22,17.67,28.39,90.0,0.0,85.0,0.0,1.75,12.22,3.0286516853932586,4.4,0.0,1.0,1.0,0.0,0.0,0.0
3,22.71,1.069,1.017,6.75,58.76,40.0,29.34,90.0,1.053,70.0,0.0,0.0,0.0,4.265971316818774,6.4,0.0,1.0,1.0,0.0,0.0,0.0
4,22.71,1.068,1.018,6.53,73.4,40.0,27.44,90.0,1.056,65.0,1.3,1.25,18.89,4.265971316818774,6.4,0.0,1.0,1.0,0.0,0.0,0.0
5,21.0,1.079,1.016,8.19,63.88,50.0,28.5,90.0,1.058,75.0,0.0,0.0,0.0,4.265971316818774,6.4,0.0,1.0,0.0,1.0,0.0,0.0
6,45.42,1.044,1.014,4.01,34.24,8.46,53.0,60.0,1.038,95.0,1.25,1.0,19.44,3.970620239390642,4.7,0.0,1.0,1.0,0.0,0.0,0.0
7,23.0,1.042,1.01,4.23,35.29,8.56,28.5,90.0,1.034,80.0,2.5,0.75,20.0,3.970620239390642,4.7,0.0,1.0,1.0,0.0,0.0,0.0
8,42.0,1.06,1.019,5.42,25.73,8.54,49.9,90.0,0.0,75.0,0.0,0.75,20.0,4.127062706270627,5.9,0.0,1.0,1.0,0.0,0.0,0.0
9,21.0,1.061,1.012,6.4,35.37,13.73,26.0,90.0,1.049,70.0,0.0,0.75,21.0,4.127062706270627,5.9,0.0,1.0,0.0,1.0,0.0,0.0
10,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,3.625,4.5,0.0,1.0,1.0,0.0,0.0,0.0
11,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,3.8333333333333335,8.5,0.0,1.0,1.0,0.0,0.0,0.0
12,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,3.465045592705167,7.3999999999999995,0.0,1.0,1.0,0.0,0.0,0.0
13,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,3.7,5.61,0.0,1.0,1.0,0.0,0.0,0.0
14,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,4.204241071428571,10.0,0.0,1.0,1.0,0.0,0.0,0.0
15,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0
16,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,4.208333333333333,6.7,0.0,1.0,1.0,0.0,0.0,0.0
17,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,4.0,5.2,0.0,1.0,1.0,0.0,0.0,0.0
18,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,3.837982832618026,6.2,0.0,1.0,1.0,0.0,0.0,0.0
19,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,4.333333333333333,8.0,0.0,1.0,1.0,0.0,0.0,0.0
20,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,3.5,5.0,0.0,1.0,1.0,0.0,0.0,0.0
21,23.0,1.073,1.021,6.82,22.99,24.01,27.0,60.0,1.056,75.0,3.0,0.35,19.0,3.0,8.5,0.0,1.0,1.0,0.0,0.0,0.0
